,sentence,sentiment
0,"['with', 'pale', 'blue', 'berries', '.']",1
1,"['in', 'these', 'peaceful', 'shades--']",1
2,"['and', 'that', 'is', 'why', ',', 'the', 'lonesome', 'day', ',']",0
3,"['and', 'so', 'on', '.']",0
4,"['then', 'a', 'worthless', 'gaud', 'or', 'two', ',']",0
5,"['that', 'has', 'a', 'charmingly', 'bourbon', 'air', '.']",1
6,"['sounded', ""o'er"", 'earth', 'and', 'sea', 'its', 'blast', 'of', 'war', ',']",0
7,"['brightly', 'expressive', 'as', 'the', 'twins', 'of', 'leda', ',']",1
8,"['in', 'monumental', 'pomp', '!']",1
9,"['no', 'grecian', 'drop']",1
10,"['want', 'and', 'woe', ',', 'which', 'torture', 'us', ',']",0
11,"['an', 'echo', 'returned', 'on', 'the', 'cold', 'gray', 'morn', ',']",0
12,"['while', 'i', ',', '...', 'i', 'built', 'up', 'follies', 'like', 'a', 'wall']",0
13,"['ah', ',', 'what', 'a', 'pang', 'of', 'aching', 'sharp', 'surprise']",0
14,"['and', 'the', 'old', 'swallow', '-', 'haunted', 'barns,--']",0
15,"['the', 'which', 'she', 'bearing', 'home', 'it', 'burned', 'her', 'nest', ',']",0
16,"['the', 'crown', 'of', 'sorrow', 'on', 'their', 'heads', ',', 'their', 'loss']",0
17,"['and', 'lips', 'where', 'heavenly', 'smiles', 'would', 'hang', 'and', 'blend']",1
18,"['i', 'lay', 'and', 'watched', 'the', 'lonely', 'gloom', ';']",0
19,"['honour', 'to', 'the', 'bugle', '-', 'horn', '!']",1
20,"['a', 'sceptre,--monstrous', ',', 'winged', ',', 'intolerable', '.']",0
21,"['if', 'the', 'pure', 'and', 'holy', 'angels']",1
22,"['upon', 'the', 'thought', 'of', 'perfect', 'noon', '.']",1
23,"['and', 'when']",1
24,"['thy', 'hands', 'all', 'cunning', 'arts', 'that', 'women', 'prize', '.']",1
25,"['reasoning', 'to', 'admiration', ',', 'and', 'with', 'mee']",1
26,"['while', 'the', 'rude', 'winds', 'blow', 'off', 'each', 'shadowy', 'crown', '.']",0
27,"['but', 'o', ',', 'nevermore', 'can', 'we', 'prison', 'him', 'tight', '.']",0
28,"['it', 'shines', 'superior', 'on', 'a', 'throne', 'of', 'gold', ':']",1
29,"['may', 'meditate', 'a', 'whole', 'youth', ""'s"", 'loss', ',']",0
30,"['when', 'thee', ',', 'the', 'eyes', 'of', 'that', 'harsh', 'long', 'ago']",0
31,"['the', 'foes', 'inclosing', ',', 'and', 'his', 'friend', 'pursued', ',']",0
32,"['take', 'the', 'warm', 'welcome', 'of', 'new', 'friends', 'with', 'thee', ',']",1
33,"['augmented', ',', 'sweet', ',', 'a', 'hundred', 'fold']",1
34,"['and', 'bow', 'to', 'dread', 'inquisitor', 'and', 'worship', 'lords', 'of', 'dust', ';']",0
35,"['miles', 'off', ',', 'three', 'dangerous', 'miles', ',', 'is', 'home', ';']",0
36,"['every', 'day', 'a', 'rich', 'reward', 'will', 'give', ';']",1
37,"['else', ',', 'suffer’d', ',', 'it', 'will', 'set', 'the', 'heart', 'on', 'fire', ',']",0
38,"['gay', 'little', 'heart', '!']",1
39,"['among', 'the', 'sources', 'of', 'thy', 'glorious', 'streams', ',']",1
40,"['what', 'gods', ',', 'what', 'madness', ',', 'hither', 'steer’d', 'your', 'course', '?']",0
41,"['it', 'spoils', 'me', 'for', 'the', 'smiling', 'of', 'the', 'rest', '’', '—']",1
42,"['that', 'wisdom', ""'s"", 'lips', 'seemed', 'borrowing', 'friendship', ""'s"", 'heart', '.']",1
43,"['when', 'the', 'glance', 'hast', 'lost', 'its', 'beam', ';']",0
44,"['best', 'gems', 'of', 'nature', ""'s"", 'cabinet', ',']",1
45,"['in', 'the', 'shadow', 'of', 'the', 'shores', ';', 'as', 'dead', 'leaves', 'wake', ',']",0
46,"['the', 'blessed', 'memory', 'of', 'thy', 'worth']",1
47,"['a', 'million', 'torches', 'lighted', 'by', 'thy', 'hand']",1
48,"['thy', 'sleep', 'makes', 'ridiculous', '.']",0
49,"['whose', 'potent', 'unity', 'and', 'concentric', 'force']",1
50,"['mine', 'eyes', 'were', 'of', 'their', 'madness', 'half', 'beguiled', ',']",0
51,"['you', 'sha', ""'"", ""n't"", 'roll', 'yo', ""'"", 'eyes', 'at', 'me', '.']",0
52,"['mine', 'are', 'calm', 'and', 'tranquil', 'days', ',']",1
53,"['from', 'flight', ',', 'seditious', 'angel', ',', 'to', 'receave']",0
54,"['thy', 'merited', 'reward', ',', 'the', 'first', 'assay']",1
55,"['uttering', 'bare', 'truth', ',', 'even', 'so', 'as', 'foes', 'commend', '.']",1
56,"['afar', 'the', 'melancholy', 'thunder', 'moaned', ',']",0
57,"['their', 'hate', ',', 'and', 'selfishness', ',', 'and', 'pride', '!']",0
58,"['and', 'sorrowful', 'to', '-', 'day', ',', 'thy', 'children', 'set']",0
59,"['save', 'for', 'a', 'cry', 'that', 'echoes', 'shrill']",0
60,"['with', 'its', 'close', '-', 'curling', 'gold', ',', 'and', 'love', 'revived', '.']",1
61,"['from', 'her', 'stately', 'place', 'on', 'high', '.']",1
62,"['sweet', 'hope', '!']",1
63,"['the', 'adulterate', 'death', 'of', 'lucrece', 'and', 'her', 'groom', '.']",0
64,"['to', 'accomplish', 'suicide', '.']",0
65,"['each', 'by', 'his', 'fiery', 'torture', 'howl', 'and', 'rave', ',']",0
66,"['is', 'lovely', 'round', ';', 'a', 'beautiful', 'river', 'there']",1
67,"['take', 'heed', '(', 'dear', 'heart', ')', 'of', 'this', 'large', 'privilege', ',']",1
68,"['at', 'once', 'comes', 'tumbling', 'down', 'the', 'rocky', 'wall', ';']",0
69,"['sat', 'mournfully', 'guarding', 'their', 'corpses', 'there', ',']",0
70,"['twas', 'when', 'you', 'stole', 'my', 'maidenhead', ';']",0
71,"['the', 'king', 'ordains', 'their', 'entrance', ',', 'and', 'ascends']",1
72,"['flood', 'his', 'black', 'hearthstone', 'till', 'its', 'flames', 'expire', ',']",0
73,"['the', 'climax', 'of', 'those', 'hopes', 'and', 'duties', 'dear']",1
74,"['strove', 'to', 'raise', 'itself', 'in', 'blessing', ',']",1
75,"['full', 'of', 'the', 'calm', 'that', 'cometh', 'after', 'sleep', ':']",1
76,"['men', 'said', ',', 'into', 'a', 'smile', 'which', 'guile', 'portended', ',']",0
77,"['deaf', ',', 'and', 'dumb', ',', 'and', 'blind', ',', 'and', 'cold', ',']",0
78,"['ran', 'ever', 'clearer', 'speech', 'than', 'that', 'did', 'run']",1
79,"['the', 'visual', 'nerve', 'is', 'withered', 'to', 'the', 'root', ',']",0
80,"['there', 'is', 'nothing', 'to', 'hope', 'for', ',', 'i', 'am', 'tired', ',']",0
81,"['have', 'seen', 'the', 'danger', 'which', 'i', 'dared', 'not', 'look']",0
82,"['on', 'to', 'their', 'shining', 'goals:--']",1
83,"['glory', 'might', 'burst', 'on', 'us', '!']",1
84,"['all', 'foredoomed', 'to', 'melt', 'away', ';']",0
85,"['a', 'spirit', 'of', 'unresting', 'flame', ',']",1
86,"['but', 'thrown', 'in', 'a', 'heap', 'with', 'a', 'crush', 'and', 'a', 'clatter', ';']",0
87,"[""o'er"", 'sweet', 'profounds', 'where', 'only', 'love', 'can', 'see', '.']",1
88,"['with', 'peace', 'and', 'soft', 'rapture', 'shall', 'teach', 'life', 'to', 'glow', ',']",1
89,"['but', 'thy', 'tranquil', 'waters', 'teach']",1
90,"['science', 'and', 'song', ',', 'and', 'all', 'the', 'arts', 'that', 'please', ';']",1
91,"['a', 'graciousness', 'in', 'giving', 'that', 'doth', 'make']",1
92,"['most', 'beauteous', 'isadore', '!']",1
93,"['but', 'homesick', 'tears', 'would', 'fill', 'the', 'eyes']",0
94,"['already', ',', 'land', '!']",1
95,"['thou', 'hast', 'declared', ':', ' ', ""'"", 'tis', 'done', '.']",1
96,"['of', 'course', 'throw', 'monstrous', 'shadows', ':', 'those', 'who', 'think']",0
97,"['their', 'country', 'free', 'and', 'joyous--']",1
98,"['the', 'mad', 'briareus', 'of', 'disunion', 'rise', ',']",0
99,"['i', 'see', 'them', 'torn', 'by', 'gallic', 'guns', ',']",0
100,"['thou', ""feel'st"", 'it', 'burning', ',', 'in', 'and', 'in,--and', 'fear']",0
101,"['your', 'paynim', 'heroes', 'faster', 'ride']",1
102,"['but', 'all', 'of', 'them', 'are', 'bad', 'enough']",0
103,"['look', 'down', 'the', 'shining', 'peaks', 'of', 'all', 'my', 'days']",1
104,"['tinkle', ',', 'tinkle', ',', 'sweetly', 'it', 'sung', 'to', 'us', ',']",1
105,"['has', 'it', 'become', 'to', 'thee', 'a', 'labyrinth', 'never', 'ending', ',']",0
106,"['on', 'her', 'changed', 'world', 'of', 'ruin', ',', 'waste', 'and', 'wrack', ',']",0
107,"['for', 'her', 'this', 'rhyme', 'is', 'penned', ',', 'whose', 'luminous', 'eyes', ',']",1
108,"['like', 'morning', 'glory']",1
109,"['kneeling', ""ne'er"", 'spoiled', 'silk', 'stockings', ';', 'quit', 'thy', 'state', ';']",0
110,"['shine', 'knightly', 'star', 'and', 'plume', 'of', 'snow', '?']",1
111,"['from', 'earth', ',', 'with', 'the', 'waters', 'of', 'pain', '.']",0
112,"['is', 'writ', 'in', 'moods', 'and', 'frowns', 'and', 'wrinkles', 'strange', '.']",0
113,"['good', 'ringers', ',', 'pull', 'your', 'best', ',', '""', 'quoth', 'he', '.']",1
114,"['those', 'cobweb', 'nerves', 'he', 'could', 'not', 'dull', 'within', '.']",0
115,"['here', 'those', 'that', 'in', 'the', 'rapid', 'course', 'delight', ',']",1
116,"['and', 'never', 'be', 'forgot', 'in', 'mighty', 'rome']",1
117,"['fooled', 'with', 'your', 'promises', ',']",0
